date,stock,close,kno,w,h,e,n,rd,pct
09/10/2013,WYNN,149.24,311,1,3,3,1,D,67
09/12/2013,CMI,133.05,311,2,3,3,1,D,58
09/12/2013,MA,667.52,311,4,2,3,1,D,55
09/18/2013,BIIB,246.35,311,1,3,4,1,D,63
09/18/2013,CTSH,83.59,311,1,2,4,1,D,72
09/18/2013,GRMN,44.73,311,1,2,3,1,D,75
09/18/2013,NLSN,36.94,311,1,2,3,1,D,75
09/18/2013,TJX,56.84,311,1,2,2,1,D,83
09/20/2013,A,52.15,311,1,2,3,1,D,75
09/20/2013,FDX,116.83,311,2,3,1,1,D,75
09/20/2013,WYNN,155.22,311,2,2,3,1,D,67
10/04/2013,DAL,25.19,311,4,3,2,1,D,55
10/04/2013,MYL,40.25,311,1,3,3,1,D,67
10/17/2013,FDX,125.19,311,1,2,3,1,D,75
10/18/2013,AMP,99.75,311,1,3,2,1,D,75
10/18/2013,WDC,71.76,311,1,3,4,1,D,63
10/18/2013,WYNN,171.92,311,3,1,3,1,D,67
10/21/2013,ADM,38.66,311,1,4,3,1,D,63
10/21/2013,CERN,58.07,311,1,1,3,1,D,83
10/21/2013,LO,48.04,311,2,2,0,1,D,60
10/21/2013,NFX,30.86,311,2,2,0,1,D,60
10/22/2013,IR,68.29,311,1,3,2,1,D,75
10/22/2013,ITW,78.04,311,2,4,2,1,D,63
10/22/2013,MA,718.68,311,2,2,0,1,D,60
10/25/2013,MCK,154.99,311,1,1,1,1,D,100
10/25/2013,NOC,108.37,311,1,2,2,1,D,83
10/28/2013,NDAQ,35.72,311,2,2,2,1,D,75
10/28/2013,UPS,97.77,311,1,1,2,1,D,92
10/29/2013,CLX,90.51,311,1,2,3,1,D,75
10/29/2013,HP,78.66,311,4,2,0,1,D,46
10/29/2013,INTU,71.48,311,2,3,0,1,D,50
10/29/2013,PFE,31.25,311,1,2,3,1,D,75
10/29/2013,PFG,47.92,311,1,3,3,1,D,67
10/31/2013,LLL,100.45,311,1,2,3,1,D,75
10/31/2013,XYL,34.50,311,1,1,2,1,D,92
11/01/2013,MCK,159.44,311,1,1,3,1,D,83
11/01/2013,PBI,21.48,311,4,2,2,1,D,63
11/01/2013,PWR,30.59,311,1,2,1,1,D,92
11/05/2013,X,27.30,311,1,1,5,1,D,77
11/06/2013,MSFT,38.18,311,1,2,4,1,D,72
11/07/2013,DGX,63.70,311,4,3,1,1,D,63
11/12/2013,MCHP,43.50,311,3,2,0,1,D,50
11/13/2013,ABC,68.49,311,2,3,4,1,D,55
11/13/2013,ADBE,57.55,311,1,2,5,1,D,68
11/14/2013,JCI,49.07,311,3,2,3,1,D,58
11/14/2013,MMM,129.79,311,3,2,1,1,D,75
11/14/2013,MON,110.46,311,4,4,2,1,D,52
11/14/2013,QCOM,71.22,311,4,4,2,1,D,52
11/14/2013,VRSN,55.81,311,4,3,3,1,D,47
11/14/2013,WDC,75.85,311,1,3,4,1,D,63
11/14/2013,XRAY,48.55,311,3,1,0,1,D,60
11/15/2013,CLX,93.60,311,1,1,1,1,D,100
11/15/2013,MHK,144.68,311,1,2,5,1,D,68
11/15/2013,MYL,42.36,311,4,3,1,1,D,63
11/15/2013,PNR,70.48,311,4,3,1,1,D,63
11/20/2013,ICE,213.07,311,1,2,1,1,D,92
11/20/2013,USB,38.74,311,3,4,3,1,D,47
11/22/2013,OMC,71.74,311,4,2,3,1,D,55
11/22/2013,TXT,31.98,311,4,2,3,1,D,55
11/25/2013,MCK,165.14,311,4,1,1,1,D,80
11/26/2013,COV,68.22,311,1,3,4,1,D,63
11/26/2013,VFC,234.40,311,2,2,2,1,D,75
11/27/2013,AMZN,386.71,311,1,1,3,1,D,83
11/27/2013,M,53.54,311,1,1,5,1,D,77
11/29/2013,TWC,138.22,311,2,1,2,1,D,83
12/02/2013,AIZ,65.71,311,2,1,5,1,D,68
12/17/2013,V,213.25,311,1,3,1,1,D,83
12/17/2013,WDC,83.40,311,1,3,2,1,D,75
12/18/2013,PNR,75.09,311,1,2,3,1,D,75
12/19/2013,NWL,32.10,311,4,3,2,1,D,55
12/20/2013,ROP,135.41,311,1,3,2,1,D,75
12/24/2013,DNB,122.90,311,1,3,2,1,D,75
12/24/2013,ITW,83.34,311,1,4,1,1,D,80
12/24/2013,SEE,33.99,311,1,3,3,1,D,67
12/24/2013,USB,40.60,311,3,3,3,1,D,50
12/26/2013,AVY,50.65,311,1,3,4,1,D,63
12/26/2013,HD,81.55,311,2,4,0,1,D,46
12/27/2013,PNC,78.20,311,1,5,3,1,D,60
01/08/2014,PKI,42.70,311,4,2,2,1,D,63
01/08/2014,STX,59.63,311,4,2,3,1,D,55
01/08/2014,TMO,114.04,311,4,2,2,1,D,63
01/08/2014,USB,41.09,311,4,3,2,1,D,55
01/08/2014,VAR,80.04,311,1,4,3,1,D,63
01/08/2014,ZMH,97.43,311,1,3,1,1,D,83
01/09/2014,GT,25.22,311,4,3,1,1,D,63
01/09/2014,VLO,52.90,311,1,2,3,1,D,75
01/10/2014,PRGO,161.70,311,4,4,2,1,D,52
01/15/2014,FFIV,97.50,311,1,2,3,1,D,75
01/15/2014,LMT,153.50,311,1,3,2,1,D,75
01/17/2014,MAR,50.62,311,1,3,2,1,D,75
01/17/2014,PNC,82.26,311,1,2,3,1,D,75
01/22/2014,TEL,60.00,311,1,1,4,1,D,80
01/27/2014,FFIV,106.50,311,1,1,1,1,D,100
02/06/2014,KORS,91.50,311,2,2,3,1,D,67
02/06/2014,ORLY,146.72,311,1,1,2,1,D,92
02/10/2014,MRK,54.89,311,1,1,2,1,D,92
02/11/2014,ALXN,174.43,311,1,1,3,1,D,83
